"","bedrnavn","bedrnr","opprdato","type","fylke","COVID"
"207","STARTEAM AS
                ","918640002","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"208","T HEGGELUND AS
                ","918536736","2017-02-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"209","TEKSTIL CONSULT AS
                ","818608632","2017-02-22","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"210","TIMO TRANSPORT AS
                ","918612475","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"211","TOTAL ADVENTURE TA TURID ANDRESEN
                ","917838941","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"212","TOURPHOTOS AS
                ","918610332","2017-02-23","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"213","TROMSDALEN REGNSKAP AS
                ","918643044","2017-03-01","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"214","TROMSØ BUDGET TOURS AS
                ","918543368","2017-02-10","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"215","TROMSØ ROPE ACCESS AS
                ","918596860","2017-02-21","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"216","TSD THOMAS SKOGSTAD DALSETH AS
                ","918567666","2017-02-15","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"217","VEISLETT AS
                ","918539948","2017-02-13","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"218","10TH MUSIC DA
                ","818707282","2017-03-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"219","ADVOKAT RYE-HOLMBOE AS
                ","918710477","2017-03-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"220","AGENTEN AS
                ","918719024","2017-03-17","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
"221","ALARMNORD AS
                ","918677283","2017-03-08","Nyregistrering i Foretaksregisteret               
                ","Troms","Før"
